,train_loss,val_loss,grad_norm
0,0.508344,0.836372,199.699
1,0.106479,0.12058,67.5709
2,0.0321773,0.0328932,35.0753
3,0.00861703,0.0134412,11.8022
4,0.00532081,0.00426798,2.70943
5,0.00567175,0.00459788,0.611246
6,0.00569921,0.00459139,0.0767001
7,0.00570997,0.00460733,0.00824587
8,0.00570993,0.00460664,0.0145581
9,0.00570929,0.00460496,0.00104233
10,0.00570912,0.00460518,0.000144612
11,0.00570909,0.00460518,1.24816e-05
12,0.00570909,0.00460518,8.26479e-07
13,0.00570909,0.00460518,6.53148e-07
14,0.00570909,0.00460518,7.85573e-07
15,0.00570909,0.00460518,3.67311e-08
16,0.00570909,0.00460518,2.75219e-09
17,0.00570909,0.00460518,1.55095e-10
18,0.00570909,0.00460518,4.30581e-12
