,train_loss,val_loss,grad_norm
0,0.331836,0.646089,122.618
1,0.0893582,0.0979903,66.4556
2,0.0353077,0.0284407,34.4456
3,0.00659851,0.00735244,7.04197
4,0.00564327,0.00462668,1.0909
5,0.00567467,0.00455426,0.171007
6,0.00570971,0.00459459,0.0610228
7,0.00570931,0.00460659,0.00723358
8,0.0057092,0.00460509,0.001026
9,0.00570912,0.00460519,0.000151964
10,0.00570909,0.00460518,1.50626e-05
11,0.00570909,0.00460518,6.78114e-07
12,0.00570909,0.00460518,1.49516e-08
13,0.00570909,0.00460518,8.53938e-10
14,0.00570909,0.00460518,7.90527e-14
